x,y,label
-1.60023,7.69407,0.00000
7.03777,9.76350,1.00000
9.29608,-9.16002,0.00000
3.95189,12.31531,1.00000
0.56410,4.34127,0.00000
-7.82331,4.95752,0.00000
9.89738,2.97185,1.00000
14.97312,-0.90835,0.00000
-5.59101,-9.21667,0.00000
-0.60212,-12.76510,0.00000
2.56468,-11.12611,0.00000
-8.26418,1.13768,0.00000
7.11479,-3.49632,1.00000
-10.20430,-3.02323,0.00000
-1.54866,11.04026,1.00000
6.04497,11.10809,1.00000
16.34353,-5.05060,0.00000
5.47265,-4.58706,1.00000
5.86795,10.60059,1.00000
-2.07546,7.16353,0.00000
-2.44161,-5.62259,1.00000
-5.66247,6.82538,0.00000
14.32718,-3.45701,0.00000
10.17993,1.73676,1.00000
12.73426,-6.30386,0.00000
3.51607,4.88524,0.00000
-7.28812,8.35643,0.00000
2.19402,-7.59096,1.00000
-5.55536,12.27215,1.00000
7.44649,5.52290,1.00000
2.12995,-6.64150,1.00000
-10.06651,9.71003,1.00000
-4.22268,-12.26435,0.00000
-7.41565,-10.99355,0.00000
6.88702,12.40410,1.00000
-11.21835,9.63705,1.00000
-11.99461,7.37899,1.00000
-2.12030,7.20000,0.00000
-0.60715,5.09471,0.00000
-0.95287,5.63700,0.00000
2.44701,-7.13050,1.00000
2.22298,-7.19233,1.00000
7.30577,8.75443,1.00000
10.86316,-9.62860,0.00000
-13.05425,7.46083,1.00000
0.94499,-5.02261,1.00000
13.92408,-4.72336,0.00000
9.27767,5.41111,1.00000
-4.04021,-12.30944,0.00000
-0.64185,11.90119,1.00000
-2.21615,13.82341,1.00000
1.91021,5.51294,0.00000
-13.09501,10.48129,1.00000
-3.61051,-2.42987,1.00000
-14.91821,4.85850,1.00000
-0.51977,13.44070,1.00000
9.13527,5.15693,1.00000
14.67489,-5.51182,0.00000
9.54968,0.52347,1.00000
12.09922,-6.54991,0.00000
-16.67800,0.84589,1.00000
-13.39509,10.17016,1.00000
10.32894,-8.98641,0.00000
-7.17818,-6.89450,0.00000
-5.78010,-10.30200,0.00000
10.29669,-1.76437,1.00000
-2.96151,13.18937,1.00000
-9.52546,9.62036,1.00000
14.28585,-3.99301,0.00000
9.94552,0.88393,1.00000
-5.84594,10.60868,1.00000
12.37894,-4.37816,0.00000
0.71041,-13.83204,0.00000
6.37908,4.76016,0.00000
10.43101,-9.91284,0.00000
-15.63102,4.80098,1.00000
-2.20427,6.58099,0.00000
9.01957,1.86098,1.00000
9.89485,-11.64114,0.00000
-10.66262,8.55745,1.00000
-4.75661,-9.75416,0.00000
8.23099,1.23728,1.00000
-7.09698,12.04992,1.00000
-3.86059,13.57378,1.00000
7.89975,4.01571,1.00000
15.66753,-0.05156,0.00000
9.51075,-9.46880,0.00000
-2.38850,-4.25146,1.00000
0.50691,4.34110,0.00000
3.94982,-13.07708,0.00000
7.38886,7.74633,1.00000
-7.08145,-3.89706,0.00000
15.05706,-4.99741,0.00000
10.13583,-10.47090,0.00000
-9.63871,11.24568,1.00000
-0.64966,12.69242,1.00000
6.78150,-3.07903,1.00000
-5.56216,-10.26793,0.00000
16.72110,0.43734,0.00000
-3.83711,-10.96229,0.00000
-15.21174,1.53760,1.00000
-4.00082,-3.99850,1.00000
-9.35266,-6.26183,0.00000
6.35805,-9.73882,0.00000
-10.16013,10.74127,1.00000
-5.29359,-9.74452,0.00000
1.27943,-7.46781,1.00000
6.30838,-4.79515,1.00000
-9.12974,0.24721,0.00000
13.88113,-4.25106,0.00000
9.59620,-9.59795,0.00000
-0.15933,-5.68234,1.00000
-9.57985,-5.94503,0.00000
2.00609,6.61006,0.00000
-10.67484,8.11961,1.00000
10.52861,0.95284,1.00000
7.64779,-10.84987,0.00000
-10.31800,7.97825,1.00000
-11.65736,-5.77757,0.00000
7.99428,-2.70200,1.00000
3.64585,-15.93932,0.00000
-9.04938,-4.35142,0.00000
-10.59004,9.91795,1.00000
2.54811,-6.05226,1.00000
14.55919,-6.46754,0.00000
7.23355,7.48713,1.00000
-1.02755,-3.66111,1.00000
8.49928,-5.66576,1.00000
-9.33441,-2.54046,0.00000
0.93256,5.94370,0.00000
-7.57633,-10.58979,0.00000
-12.15774,10.23343,1.00000
3.49728,-12.15186,0.00000
-3.29466,-11.74538,0.00000
-14.32484,3.94756,1.00000
-9.67105,9.33982,1.00000
7.26260,-11.75172,0.00000
2.54839,-7.39081,1.00000
0.12617,8.25622,0.00000
11.13224,-0.51971,1.00000
-9.06006,-1.13428,0.00000
7.95774,-4.35764,1.00000
0.19968,-5.03050,1.00000
2.06289,-11.61750,0.00000
15.83245,-5.91517,0.00000
-7.86888,4.32265,0.00000
-8.52201,-6.40039,0.00000
7.82454,7.50411,1.00000
7.59946,-1.50508,1.00000
-6.28996,-11.51578,0.00000
-7.05224,-7.97694,0.00000
3.35268,-12.21012,0.00000
10.54941,0.62185,1.00000
4.20334,-10.04239,0.00000
-8.75489,-4.98795,0.00000
13.59024,-6.12458,0.00000
3.97418,3.35733,0.00000
-6.28747,-12.35944,0.00000
-1.72278,6.90249,0.00000
-2.20066,13.83120,1.00000
-5.76281,-10.16814,0.00000
-10.06077,8.84978,1.00000
-1.79299,-6.62452,1.00000
-6.56204,-9.67242,0.00000
5.02368,-5.11464,1.00000
1.66670,11.49154,1.00000
9.72477,-10.74795,0.00000
0.42720,-12.76872,0.00000
1.11351,-7.13833,1.00000
7.85574,8.29631,1.00000
1.68522,5.17153,0.00000
0.31684,-12.45383,0.00000
13.45209,-7.96445,0.00000
9.03008,-13.38938,0.00000
-0.38489,4.91490,0.00000
9.09475,-2.58449,1.00000
-3.26340,13.34987,1.00000
3.47896,-12.10369,0.00000
7.29578,8.86692,1.00000
-6.90471,5.38136,0.00000
8.04532,9.20152,1.00000
3.21694,-13.84470,0.00000
-9.79437,-2.06583,0.00000
-6.25398,10.38412,1.00000
10.12211,0.36728,1.00000
-17.25029,0.49919,1.00000
3.58834,10.32784,1.00000
4.71738,-12.27006,0.00000
15.20958,-5.52800,0.00000
-2.80957,12.34480,1.00000
1.10350,12.91281,1.00000
-5.60101,-11.14393,0.00000
-17.04515,4.67815,1.00000
